Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm)
JP1,HDR-1X2,TopLayer,ZH1.5-WS-2P,12.9391mm,59.1461mm,45,2P接插件,13.6398mm,58.4454mm,10.2457mm,60.7789mm
J4,TYPEC-501S-ACP24H92,TopLayer,TypeC_24p_直立,86.0806mm,69.2912mm,270,"USB-C (USB TYPE-C) USB 3.2 Gen 2 (USB 3.1 Gen 2, Superspeed + (USB 3.1)) Receptacle Connector 24 Position Surface Mount, Right Angle; Through Hole",86.0806mm,69.2912mm,86.8006mm,72.0413mm
CON1,3.5*1.3,TopLayer,DC-012,7.9708mm,71.2598mm,270,低压电源接口,10.4708mm,73.6348mm,10.4708mm,73.6348mm
C126,100nF 6.3V,TopLayer,C0402_L,54.8640mm,61.9506mm,135,无极性贴片电容,54.8640mm,61.9506mm,55.1822mm,61.6324mm
C125,100nF 6.3V,TopLayer,C0402_L,44.7548mm,70.8152mm,315,无极性贴片电容,44.7548mm,70.8152mm,44.4366mm,71.1334mm
C124,100nF 6.3V,TopLayer,C0402_L,56.5658mm,63.6270mm,135,无极性贴片电容,56.5658mm,63.6270mm,56.8840mm,63.3088mm
C123,100nF 6.3V,TopLayer,C0402_L,55.2196mm,72.2376mm,225,无极性贴片电容,55.2196mm,72.2376mm,55.5378mm,72.5558mm
C122,100nF 6.3V,TopLayer,C0402_L,56.0832mm,71.3740mm,225,无极性贴片电容,56.0832mm,71.3740mm,56.4014mm,71.6922mm
C121,100nF 6.3V,TopLayer,C0402_L,54.0004mm,61.0870mm,135,无极性贴片电容,54.0004mm,61.0870mm,54.3186mm,60.7688mm
C120,100nF 6.3V,TopLayer,C0402_L,45.3764mm,63.0040mm,45,无极性贴片电容,45.3764mm,63.0040mm,45.0582mm,62.6858mm
C119,100nF 6.3V,TopLayer,C0402_L,54.3814mm,73.1012mm,225,无极性贴片电容,54.3814mm,73.1012mm,54.6996mm,73.4194mm
C118,100nF 6.3V,TopLayer,C0402_L,53.5686mm,73.9394mm,225,无极性贴片电容,53.5686mm,73.9394mm,53.8868mm,74.2576mm
C117,100nF 6.3V,TopLayer,C0402_L,55.7022mm,62.7888mm,135,无极性贴片电容,55.7022mm,62.7888mm,56.0204mm,62.4706mm
C116,100nF 6.3V,TopLayer,C0402_L,43.2308mm,69.2912mm,315,无极性贴片电容,43.2308mm,69.2912mm,42.9126mm,69.6094mm
C115,100nF 6.3V,TopLayer,C0402_L,43.9928mm,70.0532mm,315,无极性贴片电容,43.9928mm,70.0532mm,43.6746mm,70.3714mm
C114,100nF 6.3V,TopLayer,C0402_L,46.3042mm,72.3392mm,315,无极性贴片电容,46.3042mm,72.3392mm,45.9860mm,72.6574mm
C113,100nF 6.3V,TopLayer,C0402_L,56.9214mm,70.5612mm,225,无极性贴片电容,56.9214mm,70.5612mm,57.2396mm,70.8794mm
C112,100nF 6.3V,TopLayer,C0402_L,43.0904mm,65.2900mm,45,无极性贴片电容,43.0904mm,65.2900mm,42.7722mm,64.9718mm
C111,100nF 6.3V,TopLayer,C0402_L,57.4294mm,64.4652mm,135,无极性贴片电容,57.4294mm,64.4652mm,57.7476mm,64.1470mm
C110,100nF 6.3V,TopLayer,C0402_L,48.1450mm,60.2354mm,225,无极性贴片电容,48.1450mm,60.2354mm,48.4632mm,60.5536mm
C109,22pF/16V,TopLayer,C0402_L,42.9006mm,71.8494mm,270,无极性贴片电容,42.9006mm,71.8494mm,42.9006mm,72.2994mm
C108,22pF/16V,TopLayer,C0402_L,42.9006mm,73.9140mm,90,无极性贴片电容,42.9006mm,73.9140mm,42.9006mm,73.4640mm
C107,100nF 6.3V,TopLayer,C0402_L,62.4840mm,73.3044mm,180,无极性贴片电容,62.4840mm,73.3044mm,62.9340mm,73.3044mm
C106,100nF 6.3V,TopLayer,C0402_L,62.4840mm,72.2376mm,180,无极性贴片电容,62.4840mm,72.2376mm,62.9340mm,72.2376mm
C105,100nF 6.3V,TopLayer,C0402_L,62.1150mm,69.7872mm,135,无极性贴片电容,62.1150mm,69.7872mm,62.4332mm,69.4690mm
C104,100nF 6.3V,TopLayer,C0402_L,61.3530mm,69.0252mm,135,无极性贴片电容,61.3530mm,69.0252mm,61.6712mm,68.7070mm
C103,100nF 6.3V,TopLayer,C0402_L,62.8904mm,63.8048mm,180,无极性贴片电容,62.8904mm,63.8048mm,63.3404mm,63.8048mm
C102,100nF 6.3V,TopLayer,C0402_L,62.8904mm,62.7380mm,180,无极性贴片电容,62.8904mm,62.7380mm,63.3404mm,62.7380mm
C101,100nF 6.3V,BottomLayer,C0402_L,54.7624mm,70.2056mm,180,无极性贴片电容,54.7624mm,70.2056mm,55.2124mm,70.2056mm
C100,100nF 6.3V,BottomLayer,C0402_L,54.7624mm,69.1388mm,180,无极性贴片电容,54.7624mm,69.1388mm,55.2124mm,69.1388mm
C99,100nF 6.3V,TopLayer,C0402_L,62.9794mm,60.6527mm,180,无极性贴片电容,62.9793mm,60.6527mm,63.4294mm,60.6527mm
C98,100nF 6.3V,TopLayer,C0402_L,62.9794mm,59.5859mm,180,无极性贴片电容,62.9793mm,59.5859mm,63.4294mm,59.5859mm
C97,100nF 6.3V,TopLayer,C0402_L,46.1384mm,62.2420mm,225,无极性贴片电容,46.1384mm,62.2420mm,46.4566mm,62.5602mm
C96,100nF 10V,BottomLayer,C0402_L,60.4012mm,73.5617mm,270,无极性贴片电容,60.4012mm,73.5616mm,60.4012mm,74.0117mm
C95,33pF/16V,BottomLayer,C0402_L,84.8614mm,45.8470mm,270,无极性贴片电容,84.8614mm,45.8470mm,84.8614mm,46.2970mm
C94,33pF/16V,BottomLayer,C0402_L,84.8614mm,47.9298mm,90,无极性贴片电容,84.8614mm,47.9298mm,84.8614mm,47.4798mm
C93,100nF 6.3V,BottomLayer,C0402_L,87.8980mm,52.4510mm,180,无极性贴片电容,87.8980mm,52.4510mm,88.3480mm,52.4510mm
C92,100nF 6.3V,BottomLayer,C0402_L,87.8980mm,53.5178mm,180,无极性贴片电容,87.8980mm,53.5178mm,88.3480mm,53.5178mm
C91,100nF 6.3V,BottomLayer,C0402_L,83.3628mm,58.8264mm,270,无极性贴片电容,83.3628mm,58.8264mm,83.3628mm,59.2764mm
C90,100nF 6.3V,BottomLayer,C0402_L,80.6958mm,60.3504mm,180,无极性贴片电容,80.6958mm,60.3504mm,81.1458mm,60.3504mm
C89,100nF 6.3V,BottomLayer,C0402_L,76.9438mm,55.7784mm,0,无极性贴片电容,76.9438mm,55.7784mm,76.4938mm,55.7784mm
C88,100nF 6.3V,BottomLayer,C0402_L,87.8980mm,55.6514mm,180,无极性贴片电容,87.8980mm,55.6514mm,88.3480mm,55.6514mm
C87,100nF 6.3V,BottomLayer,C0402_L,85.4964mm,58.8264mm,270,无极性贴片电容,85.4964mm,58.8264mm,85.4964mm,59.2764mm
C86,100nF 6.3V,BottomLayer,C0402_L,76.9438mm,54.7116mm,0,无极性贴片电容,76.9438mm,54.7116mm,76.4938mm,54.7116mm
C85,100nF 6.3V,BottomLayer,C0402_L,76.9438mm,53.2384mm,0,无极性贴片电容,76.9438mm,53.2384mm,76.4938mm,53.2384mm
C84,100nF 6.3V,BottomLayer,C0402_L,87.8980mm,51.3842mm,180,无极性贴片电容,87.8980mm,51.3842mm,88.3480mm,51.3842mm
C83,100nF 6.3V,BottomLayer,C0402_L,83.0637mm,47.9370mm,90,无极性贴片电容,83.0637mm,47.9370mm,83.0637mm,47.4870mm
C82,100nF 6.3V,BottomLayer,C0402_L,87.8980mm,54.5846mm,180,无极性贴片电容,87.8980mm,54.5846mm,88.3480mm,54.5846mm
C81,100nF 6.3V,BottomLayer,C0402_L,87.8980mm,50.3174mm,180,无极性贴片电容,87.8980mm,50.3174mm,88.3480mm,50.3174mm
C80,100nF 6.3V,BottomLayer,C0402_L,84.4296mm,58.8264mm,270,无极性贴片电容,84.4296mm,58.8264mm,84.4296mm,59.2764mm
C79,100nF 6.3V,BottomLayer,C0402_L,82.2960mm,58.8264mm,270,无极性贴片电容,82.2960mm,58.8264mm,82.2960mm,59.2764mm
C78,100nF 6.3V,BottomLayer,C0402_L,81.8896mm,47.9370mm,90,无极性贴片电容,81.8896mm,47.9370mm,81.8896mm,47.4870mm
C77,1uF 10V,BottomLayer,C0402_L,80.1624mm,58.8264mm,270,无极性贴片电容,80.1624mm,58.8264mm,80.1624mm,59.2764mm
C76,100nF 6.3V,BottomLayer,C0402_L,77.6224mm,47.9370mm,90,无极性贴片电容,77.6224mm,47.9370mm,77.6224mm,47.4870mm
C75,10uF 6.3V,BottomLayer,C0603_L,75.6666mm,48.1330mm,180,无极性贴片电容,75.6666mm,48.1330mm,76.3916mm,48.1330mm
C74,1uF 10V,BottomLayer,C0402_L,76.9438mm,52.1716mm,180,无极性贴片电容,76.9438mm,52.1716mm,77.3938mm,52.1716mm
C73,33pF/16V,BottomLayer,C0402_L,84.8614mm,26.5430mm,270,无极性贴片电容,84.8614mm,26.5430mm,84.8614mm,26.9930mm
C72,33pF/16V,BottomLayer,C0402_L,84.8614mm,28.6258mm,90,无极性贴片电容,84.8614mm,28.6258mm,84.8614mm,28.1758mm
C71,33pF/16V,BottomLayer,C0402_L,84.8614mm,7.4676mm,270,无极性贴片电容,84.8614mm,7.4676mm,84.8614mm,7.9176mm
C70,33pF/16V,BottomLayer,C0402_L,84.8614mm,9.5504mm,90,无极性贴片电容,84.8614mm,9.5504mm,84.8614mm,9.1004mm
C69,100nF 6.3V,BottomLayer,C0402_L,87.8980mm,33.1470mm,180,无极性贴片电容,87.8980mm,33.1470mm,88.3480mm,33.1470mm
C68,100nF 6.3V,BottomLayer,C0402_L,87.8980mm,14.0716mm,180,无极性贴片电容,87.8980mm,14.0716mm,88.3480mm,14.0716mm
C67,100nF 6.3V,BottomLayer,C0402_L,87.8980mm,34.2138mm,180,无极性贴片电容,87.8980mm,34.2138mm,88.3480mm,34.2138mm
C66,100nF 6.3V,BottomLayer,C0402_L,87.8980mm,15.1384mm,180,无极性贴片电容,87.8980mm,15.1384mm,88.3480mm,15.1384mm
C65,100nF 6.3V,BottomLayer,C0402_L,83.3628mm,39.5224mm,270,无极性贴片电容,83.3628mm,39.5224mm,83.3628mm,39.9724mm
C64,100nF 6.3V,BottomLayer,C0402_L,87.8980mm,36.3474mm,180,无极性贴片电容,87.8980mm,36.3474mm,88.3480mm,36.3474mm
C63,100nF 6.3V,BottomLayer,C0402_L,80.6958mm,41.0210mm,180,无极性贴片电容,80.6958mm,41.0210mm,81.1458mm,41.0210mm
C62,100nF 6.3V,BottomLayer,C0402_L,76.9438mm,36.4744mm,0,无极性贴片电容,76.9438mm,36.4744mm,76.4938mm,36.4744mm
C61,100nF 6.3V,BottomLayer,C0402_L,85.4964mm,39.5224mm,270,无极性贴片电容,85.4964mm,39.5224mm,85.4964mm,39.9724mm
C60,100nF 6.3V,BottomLayer,C0402_L,76.9438mm,35.4076mm,0,无极性贴片电容,76.9438mm,35.4076mm,76.4938mm,35.4076mm
C59,100nF 6.3V,BottomLayer,C0402_L,83.3628mm,20.4470mm,270,无极性贴片电容,83.3628mm,20.4470mm,83.3628mm,20.8970mm
