Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm)
C18,10nF 6.3V,BottomLayer,C0402_L,79.7560mm,47.9370mm,90,无极性贴片电容,79.7560mm,47.9370mm,79.7560mm,47.4870mm
C17,100nF 50V,TopLayer,C0402_L,31.0388mm,64.5342mm,90,无极性贴片电容,31.0388mm,64.5342mm,31.0388mm,64.0842mm
C16,100nF 50V,TopLayer,C0402_L,11.0490mm,25.6104mm,270,无极性贴片电容,11.0490mm,25.6104mm,11.0490mm,26.0604mm
C15,100nF 50V,TopLayer,C0402_L,25.0444mm,61.0616mm,270,无极性贴片电容,25.0444mm,61.0616mm,25.0444mm,61.5116mm
C13,22uF 10V,TopLayer,C0603_L,12.1920mm,44.4130mm,270,无极性贴片电容,12.1920mm,44.4130mm,12.1920mm,45.1380mm
C11,22uF 10V,TopLayer,C0603_L,25.0444mm,74.1056mm,90,无极性贴片电容,25.0444mm,74.1056mm,25.0444mm,73.3806mm
C10,68PF 50V,TopLayer,C0402_L,4.0132mm,42.5043mm,270,无极性贴片电容,4.0132mm,42.5042mm,4.0132mm,42.9543mm
C9,150PF 50V,TopLayer,C0402_L,32.1056mm,73.8814mm,90,无极性贴片电容,32.1056mm,73.8814mm,32.1056mm,73.4314mm
C8,100nF 50V,TopLayer,C0402_L,2.3114mm,48.1584mm,180,无极性贴片电容,2.3114mm,48.1584mm,2.7614mm,48.1584mm
C7,22uF 25V,TopLayer,C0805_L,3.1619mm,49.7078mm,180,无极性贴片电容,3.1618mm,49.7077mm,4.1119mm,49.7078mm
C6,100nF 50V,TopLayer,C0402_L,34.4678mm,69.5960mm,270,无极性贴片电容,34.4678mm,69.5960mm,34.4678mm,70.0460mm
C5,22uF 10V,TopLayer,C0805_L,36.0426mm,70.4444mm,270,无极性贴片电容,36.0427mm,70.4443mm,36.0426mm,71.3944mm
C4,100nF 50V,TopLayer,C0402_L,5.0800mm,42.5043mm,270,无极性贴片电容,5.0800mm,42.5042mm,5.0800mm,42.9543mm
